Data;pH;Turbidez;CondutividadeEletrica
11/08/2009;7,5;7,75;42
13/08/2009;7,4;6,42;144
13/08/2009;7,4;6,42;144
17/08/2009;8,05;10,7;
18/08/2009;7,77;3,53;
21/08/2009;7,48;3,42;4
24/08/2009;6,97;3,23;
24/08/2009;7,58;3,12;16
24/08/2009;7,46;4,72;
25/08/2009;7,7;3,17;56
26/08/2009;8,08;4,53;
27/08/2009;5,5;0,34;
28/08/2009;7,71;2,83;64
29/08/2009;7,84;1,44;72
31/08/2009;8,16;6,4;130
01/09/2009;7,5;5,46;90
01/09/2009;7,32;3,4;
01/09/2009;7,71;3,44;37
02/09/2009;7,36;2,18;
02/09/2009;6,9;2,52;
02/09/2009;7,72;5,39;107
05/09/2009;8,48;13,2;282
15/09/2009;7,53;5,52;
15/09/2009;7,02;3,17;
16/09/2009;5,93;0,69;
21/09/2009;7,18;6,06;30
22/09/2009;5,85;6,61;8
23/09/2009;6,37;24;9
24/09/2009;6,16;5,34;6
25/09/2009;6,7;5,71;44
25/09/2009;6,26;11,1;8
26/09/2009;7,12;6,21;38
26/09/2009;6,2;8,74;8
28/09/2009;7,45;4,18;
29/09/2009;6,11;2,49;
29/09/2009;6,8;2,8;6
30/09/2009;6,7;2,48;6
02/10/2009;7,2;18,4;13
03/10/2009;7,8;24,1;145
03/10/2009;7;4,62;8
05/10/2009;7,4;26,5;52
06/10/2009;7,8;10,3;101
07/10/2009;8;1,69;79
08/10/2009;7,5;21,3;71
09/10/2009;7,4;69,7;46
13/10/2009;6,58;13,7;
13/10/2009;6,83;3,61;
13/10/2009;7,04;10,9;
26/10/2009;7,4;2,5;
27/10/2009;6,21;18,2;
03/11/2009;6,62;478;
04/11/2009;6,29;3,18;
04/11/2009;6,74;17,4;
04/11/2009;6,3;15,7;
04/11/2009;6,3;11,1;
10/11/2009;7,3;36,2;50
12/11/2009;7,3;8,27;126
16/11/2009;6,83;6,98;
16/11/2009;5,44;0,69;
16/11/2009;7,06;10,7;
19/11/2009;7,86;5,41;161
21/11/2009;7,54;4,3;35
24/11/2009;7,49;13,3;
26/11/2009;6,11;31,5;
26/11/2009;6,66;8,9;
28/11/2009;6,86;12;34
28/11/2009;6,86;12;34
01/12/2009;7,48;6,32;20
03/12/2009;;290;
03/12/2009;;290;
03/12/2009;7,58;15,8;46
03/12/2009;7,48;4,66;
07/12/2009;7,07;111;28
08/12/2009;7,49;4,55;68
09/12/2009;7,22;108;47
10/12/2009;7,09;469;49
10/12/2009;7,01;83,7;
14/12/2009;7,46;4,21;
