Data;pH;Turbidez;CondutividadeEletrica;DBO;OD
11/12/2018;7,49;190,78;;;
12/09/2018;7,67;5,93;;;7,53
23/08/2010;7,68;5,22;;0,4;9,2
15/02/2006;7,84;225;;3;5,93
17/08/2006;7,63;7,97;;1,94;6,49
27/02/2008;7,62;75,7;;2,2;5,03
17/08/2009;8,05;10,7;;0,3;7,6
06/07/2009;7,5;1,84;;2;6,7
29/12/2009;7,24;10,5;;0,5;6,9
16/11/2010;7,1;5,23;;2,1;8
12/06/2006;7,05;2,6;;0;6,67
05/12/2006;7,14;6,6;;0,91;4,38
13/06/2017;8,28;;;;8,48
06/03/2017;7,82;71;;;6,73
06/01/2006;8,18;0,5;75,3;;100,1
11/04/2006;8,16;1,9;76,3;;8,29
23/03/2005;8,17;1,96;111,4;;7,34
18/03/2004;7,85;185;88,1;;
14/07/2004;8,43;5,3;122;;90,8
19/09/2004;8,2;8,7;88,7;;6,97
22/11/2004;8,5;12,3;90,1;;7,2
11/06/2002;8,17;4,8;104,5;;7,68
06/08/2002;8,33;2,8;88,5;;6,92
28/11/2002;8,32;0,44;97,3;;7,01
08/08/2001;7,89;5,7;70,7;;9,74
09/05/2001;8,26;4,9;124,4;;11,07
22/11/2001;9,66;19,9;125,4;;8,11
24/02/2001;7,95;0,63;70,2;;6,38
15/02/2002;8,01;130;127,2;;7,98
15/12/2000;7,69;236;59;;7,67
19/11/2003;8,31;0,65;110,6;;7,6
12/02/2003;8,38;0,61;99;;4,89
28/05/2003;8,47;2,4;147,39999;;8,09
10/09/2003;8,21;5;101,9;;8,14
10/09/2003;8,21;5;101,9;;8,14
26/08/2005;8,37;0,35;98,1;;111,7
07/11/2005;8,3;7,4;;;121,7
06/11/2008;7,53;;79;;6,95
07/08/2008;7,75;;72;;8,35
16/09/2005;8,35;3,3;94,6;;111,3
28/11/2005;8,14;0,66;69,7;;144,3
24/01/2006;8,47;3,8;80,9;;126,9
09/05/2006;7,77;6,3;78,2;;54,8
20/10/2006;7,53;184;81,2;;118,6
25/04/2008;7,27;;62;;6,39
17/01/2004;7,99;189;4,61;;6,3
29/03/2004;7,74;168;91,5;;6,76
11/08/2004;8,24;2;88,7;;7,76
16/10/2004;7,9;7,5;3,8;;6,47
09/07/2002;8,49;1,3;93,2;;7,14
10/09/2002;8,36;3,1;89,8;;6,98
18/12/2002;8,36;3,1;89,8;;6,98
19/03/2001;7,86;1,46;99,4;;7,11
10/09/2001;7,97;1,9;99,1;;5,66
08/12/2001;7,97;0,97;96;;6,51
20/01/2001;8,14;5,6;99,7;;7,34
29/05/2001;8,06;7,6;;;7,92
15/01/2005;5,95;83;92,5;;7,28
19/04/2005;8,42;0,23;118,3;;8,1
05/04/2002;8,5;0,43;106,2;;9,7
14/03/2003;8,08;0,6;88,6;;4,6
26/06/2003;8,13;0,19;96,4;;8,69
24/09/2003;8,17;1,1;98,8;;7,89
08/12/2009;7,49;4,55;68;;
18/07/2015;7,51;;74,6;;7,62
14/09/2018;8;;;;6,9
03/12/2018;8,43;50,3;;;6,32
29/08/2009;7,84;1,44;72;;
14/08/2012;7,18;7,01;80,5;;7,78
25/06/2018;8,17;;82;;
25/05/2012;6,95;;83,4;;7,78
05/07/2013;7,88;4,14;86,4;;7,69
14/03/2017;7,34;;;;7,33
22/03/2015;8,32;;69,7;;7,08
04/03/2012;7,18;6,76;83,8;;9,3
01/10/2013;7,91;1,5;84,2;;7,34
14/10/2014;8,36;;83,9;;6,87
08/12/2017;;8,63;;;
26/09/2017;;2,32;;;
16/06/2010;7,61;265;72;;7,15
20/04/2013;7,23;8,49;81,5;;7,09
16/03/2014;7,96;9,06;76,3;;6,93
26/09/2011;7,86;10,8;80,8;;7,63
22/03/2016;6,84;;71,7;;6,63
23/10/2015;7,36;;83,3;;6,64
02/06/2009;7,82;;111;;5,85
12/07/2016;7,34;;76,8;;7,68
04/07/2011;7,7;10,5;67,6;;7,87
22/10/2016;7,95;0;81,2;;7,27
07/11/2012;7,24;4,08;82,5;;7,12
25/01/2019;7,82;3,2;;;6,99
05/03/2012;6,98;74,6;63;;7,21
25/07/2015;7,28;;100,8;;7,51
01/12/2018;8,1;60,4;;;6,1
10/12/2009;7,09;469;49;;
13/03/2017;6,76;;;;7,08
21/03/2015;8,04;;53,6;;6,88
28/05/2012;6,89;;90,2;;7,38
02/09/2009;7,72;5,39;107;;
11/08/2012;7,07;7,69;123,7;;7,01
28/09/2017;;10;;;
13/10/2014;7,81;;117,6;;6,3
21/10/2016;7,04;0;99;;5,92
20/04/2013;7,22;58,3;70,4;;6,76
02/10/2013;7,8;5,9;115;;5,76
05/07/2011;8,05;10,9;86,2;;7,75
07/12/2017;;20,8;;;
15/06/2010;7,72;3,44;96;;7,27
03/06/2009;7,5;;104;;7,12
09/07/2016;7,09;;102;;7,41
07/11/2012;7,43;9;116;;6,32
03/07/2013;7,36;4,07;110,4;;7,08
15/03/2014;6,39;64,2;54,7;;7,02
22/09/2011;8,04;15,2;139,7;;7,15
16/03/2016;6,44;;47,7;;6,19
23/10/2015;7,36;;114,2;;6,38
26/06/2018;8,06;;100;;
13/09/2018;8,07;;;;7,2
23/01/2019;7,25;7,11;;;6,78
13/06/2018;7,58;6,97;;;7,4633
14/03/2018;7,2333;71,6867;;;6,41
05/12/2018;7,29;59,8;;;
04/09/2018;7,86;3,59;;;7,06
05/09/2006;5,74;2,53;;0,92;2,38
11/03/2008;5,91;8,18;;1,31;1,64
13/01/2009;5,75;20;;0;3,7
15/12/2009;5,96;5,28;;1,3;1,7
24/08/2010;6,2;1,15;;0,5;5,1
22/03/2016;6,84;;49,7;;6,03
24/10/2015;7,11;;88,5;;5,82
01/11/2008;7,33;;85;;4,73
06/08/2008;7,46;;83;;7,25
26/04/2008;6,96;;57;;6,28
15/09/2018;7,6;;;;6,5
02/10/2013;7,78;5,96;97,1;;6,62
09/12/2009;7,22;108;47;;
15/03/2017;7,04;;;;6,38
22/03/2015;8,67;;45,1;;6,49
02/03/2012;6,97;49,8;46,6;;6,54
26/05/2012;6,89;;73;;7,32
01/09/2009;7,5;5,46;90;;
13/08/2012;7,04;5,58;108;;6,98
25/06/2018;8,18;21;70;;
13/10/2014;7,84;;81;;6,71
23/09/2011;7,88;13;106,7;;7,44
11/07/2016;7,22;;74,5;;6,74
27/07/2015;7,23;;75,9;;7,37
17/06/2010;7,59;6,04;77;;7,17
04/07/2013;7,37;5,61;84,7;;7,44
19/04/2013;7,15;31,9;56,6;;6,62
17/03/2014;7,06;29;49,1;;5,53
02/07/2011;8,03;17;61,3;;7,51
22/10/2016;7,74;0;53,7;;6,1
27/09/2017;;9,9;;;
08/12/2017;;24,2;;;
03/12/2018;8,26;48;;;5,4
30/05/2009;7,43;;90;;6,72
08/11/2012;7,45;12,4;98,5;;6,1
24/01/2019;7,64;11,26;;;6,65
13/06/2018;6,6933;18,17;;;6,61
15/03/2018;6,3;18,0333;;;4,8133
05/12/2018;6,41;16,67;;;
04/09/2018;6,89;32,56;;;3,41
08/11/2006;6,55;11,8;;1,23;3,18
24/11/2008;6,51;52,4;;1,66;4,9
02/06/2009;6,75;13,4;;1;7,6
13/10/2009;6,58;13,7;;0,8;6
18/10/2010;7,02;20,3;;0,03;5
14/06/2017;7,08;;;;6,21
07/03/2017;6,79;5,26;;;1,77
03/09/2018;7,86;27,2;;;8,37
04/12/2018;6,19;15,49;;;
11/06/2018;6,5667;11,11;;;5,04
12/03/2018;6,29;6,68;;;2,42
10/10/2008;8,16;4,15;;0,03;5,99
16/06/2009;6,59;4,76;;0,4;5,4
26/11/2009;6,11;31,5;;1,4;5,4
13/09/2010;6,46;37;;0,1;2,2
21/09/2010;6,9;6,27;;0,4;7,8
17/10/2006;6,52;4,69;;0,82;4,95
05/05/2009;6,07;8,75;;0;7,8
28/09/2009;7,45;4,18;;0,7;6,6
13/02/2006;6,67;5,4;;1,36;4,78
29/08/2006;7,68;2,72;;1,12;6,05
17/06/2009;6,51;2,03;;0,6;6,4
24/08/2009;6,97;3,23;;0,1;4,9
18/08/2010;7,25;2,75;;0,4;11
06/03/2017;7,49;7,05;;;8
12/06/2017;7,6;2,53;;;7,95
13/12/2018;7,06;15,1;;;
10/09/2018;7,39;1,95;;;7,53
20/03/2018;7,1533;21;;;7,21
18/06/2018;7,49;3,36;;;8,0767
20/03/2017;5,8;;;;7,55
24/08/2009;7,58;3,12;16;;
19/05/2012;6,64;8,75;23,6;;7,44
01/12/2009;7,48;6,32;20;;
25/03/2015;7,64;;15,15;;7,89
22/06/2010;6,76;4,67;22;;7,19
19/10/2014;7,15;;15,23;;7,14
21/09/2017;;3,66;;;
27/02/2012;7,03;12,4;23,8;;7,69
10/07/2013;6,39;2,85;17,24;;7,59
17/04/2013;6,55;7,93;22,7;;7,44
24/09/2018;7;;;;7,2
