,tecnica,parametro,amostras,mape,lag
193,Random Forest,"DBO (5, 20)",199,6.49,4
194,MLP,"DBO (5, 20)",199,4.27,4
195,LSTM,"DBO (5, 20)",199,7.28,4
196,Regressão Linear,"DBO (5, 20)",199,10.94,5
197,Random Forest,"DBO (5, 20)",199,5.82,5
198,MLP,"DBO (5, 20)",199,3.75,5
199,LSTM,"DBO (5, 20)",199,8.35,5
200,Regressão Linear,"DBO (5, 20)",199,12.04,6
201,Random Forest,"DBO (5, 20)",199,8.43,6
202,MLP,"DBO (5, 20)",199,3.95,6
203,LSTM,"DBO (5, 20)",199,8.14,6
204,Regressão Linear,"DBO (5, 20)",199,11.62,7
205,Random Forest,"DBO (5, 20)",199,5.63,7
206,MLP,"DBO (5, 20)",199,4.12,7
207,LSTM,"DBO (5, 20)",199,6.99,7
208,Regressão Linear,"DBO (5, 20)",199,11.32,8
209,Random Forest,"DBO (5, 20)",199,10.92,8
210,MLP,"DBO (5, 20)",199,3.76,8
211,LSTM,"DBO (5, 20)",199,8.3,8
212,Regressão Linear,"DBO (5, 20)",199,11.75,9
213,Random Forest,"DBO (5, 20)",199,5.85,9
214,MLP,"DBO (5, 20)",199,4.43,9
215,LSTM,"DBO (5, 20)",199,6.19,9
216,Regressão Linear,Temperatura da Água,202,3.36,1
217,Random Forest,Temperatura da Água,202,3.62,1
218,MLP,Temperatura da Água,202,3.35,1
219,LSTM,Temperatura da Água,202,3.36,1
220,Regressão Linear,Temperatura da Água,202,3.59,2
221,Random Forest,Temperatura da Água,202,4.34,2
222,MLP,Temperatura da Água,202,3.75,2
223,LSTM,Temperatura da Água,202,3.62,2
224,Regressão Linear,Temperatura da Água,202,3.32,3
225,Random Forest,Temperatura da Água,202,3.91,3
226,MLP,Temperatura da Água,202,3.32,3
227,LSTM,Temperatura da Água,202,3.32,3
228,Regressão Linear,Temperatura da Água,202,3.37,4
229,Random Forest,Temperatura da Água,202,3.8,4
230,MLP,Temperatura da Água,202,3.32,4
231,LSTM,Temperatura da Água,202,3.3,4
232,Regressão Linear,Temperatura da Água,202,3.37,5
233,Random Forest,Temperatura da Água,202,3.73,5
234,MLP,Temperatura da Água,202,3.37,5
235,LSTM,Temperatura da Água,202,3.34,5
236,Regressão Linear,Temperatura da Água,202,3.31,6
237,Random Forest,Temperatura da Água,202,4.25,6
238,MLP,Temperatura da Água,202,3.33,6
239,LSTM,Temperatura da Água,202,3.34,6
240,Regressão Linear,Temperatura da Água,202,3.34,7
241,Random Forest,Temperatura da Água,202,3.57,7
242,MLP,Temperatura da Água,202,3.38,7
243,LSTM,Temperatura da Água,202,3.36,7
244,Regressão Linear,Temperatura da Água,202,3.32,8
245,Random Forest,Temperatura da Água,202,3.81,8
246,MLP,Temperatura da Água,202,3.37,8
247,LSTM,Temperatura da Água,202,3.36,8
248,Regressão Linear,Temperatura da Água,202,3.41,9
249,Random Forest,Temperatura da Água,202,3.77,9
250,MLP,Temperatura da Água,202,3.41,9
251,LSTM,Temperatura da Água,202,3.41,9
252,Regressão Linear,pH,202,1.39,1
253,Random Forest,pH,202,1.73,1
254,MLP,pH,202,1.39,1
255,LSTM,pH,202,1.38,1
256,Regressão Linear,pH,202,1.46,2
257,Random Forest,pH,202,1.87,2
258,MLP,pH,202,1.37,2
259,LSTM,pH,202,1.4,2
260,Regressão Linear,pH,202,1.46,3
261,Random Forest,pH,202,1.53,3
262,MLP,pH,202,1.4,3
263,LSTM,pH,202,1.35,3
264,Regressão Linear,pH,202,1.33,4
265,Random Forest,pH,202,1.79,4
266,MLP,pH,202,1.31,4
267,LSTM,pH,202,1.31,4
268,Regressão Linear,pH,202,1.33,5
269,Random Forest,pH,202,1.7,5
270,MLP,pH,202,1.33,5
271,LSTM,pH,202,1.32,5
272,Regressão Linear,pH,202,1.34,6
273,Random Forest,pH,202,1.64,6
274,MLP,pH,202,1.32,6
275,LSTM,pH,202,1.33,6
276,Regressão Linear,pH,202,1.4,7
277,Random Forest,pH,202,1.96,7
278,MLP,pH,202,1.4,7
279,LSTM,pH,202,1.37,7
280,Regressão Linear,pH,202,1.34,8
281,Random Forest,pH,202,1.87,8
282,MLP,pH,202,1.35,8
283,LSTM,pH,202,1.34,8
284,Regressão Linear,pH,202,1.34,9
285,Random Forest,pH,202,1.76,9
286,MLP,pH,202,1.34,9
287,LSTM,pH,202,1.33,9
