,tecnica,parametro,amostras,mape,lag
264,Regressão Linear,pH,179,1.48,4
265,Random Forest,pH,179,1.69,4
266,MLP,pH,179,1.48,4
267,LSTM,pH,179,1.49,4
268,Regressão Linear,pH,179,1.5,5
269,Random Forest,pH,179,1.54,5
270,MLP,pH,179,1.5,5
271,LSTM,pH,179,1.49,5
272,Regressão Linear,pH,179,1.49,6
273,Random Forest,pH,179,1.78,6
274,MLP,pH,179,1.46,6
275,LSTM,pH,179,1.47,6
276,Regressão Linear,pH,179,1.48,7
277,Random Forest,pH,179,1.52,7
278,MLP,pH,179,1.46,7
279,LSTM,pH,179,1.47,7
280,Regressão Linear,pH,179,1.52,8
281,Random Forest,pH,179,1.67,8
282,MLP,pH,179,1.51,8
283,LSTM,pH,179,1.47,8
284,Regressão Linear,pH,179,1.48,9
285,Random Forest,pH,179,1.59,9
286,MLP,pH,179,1.46,9
287,LSTM,pH,179,1.46,9
