valor_coliformes,valor_dbo,valor_fosforo,valor_od,valor_ph,valor_solido,valor_temperatura,valor_turbidez
252500.0,8.5,0.2425,2.55,7.15,189.5,24.25,48.5
86666.66666666667,15.333333333333334,1.3316666666666668,3.9000000000000004,7.233333333333333,299.6666666666667,19.666666666666668,63.300000000000004
4100.0,15.5,0.20450000000000002,5.199999999999999,7.95,183.5,26.0,10.25
5600.0,13.5,0.1815,6.75,6.75,180.0,26.5,21.5
8500.0,10.5,1.2650000000000001,6.140000000000001,6.7,521.0,19.5,76.0
1350000.0,8.5,1.15,3.75,7.050000000000001,210.0,24.25,67.5
34333.333333333336,13.666666666666666,1.6466666666666665,4.333333333333333,7.1000000000000005,287.6666666666667,21.0,27.633333333333336
116150.0,11.5,0.1535,8.9,8.0,208.5,27.0,8.35
23800.0,9.0,0.74375,4.9775,7.1499999999999995,219.5,24.625,18.125
128333.33333333333,10.333333333333334,0.8966666666666666,5.033333333333334,7.3999999999999995,334.3333333333333,25.666666666666668,30.666666666666668
180000.0,18.0,1.0625,4.8,6.65,345.5,19.0,74.0
2650.0,12.0,0.135,2.75,7.25,158.5,19.0,6.2
650.0,9.5,0.369,3.3000000000000003,7.2,179.5,19.5,10.5
68666.66666666667,10.333333333333334,1.5383333333333333,4.4,7.3,248.0,20.333333333333332,21.666666666666668
2600.0,6.5,0.2875,4.8,7.25,180.5,22.0,44.5
271000.0,14.333333333333334,0.31833333333333336,3.5666666666666664,7.166666666666667,209.0,20.666666666666668,20.866666666666667
5540.0,6.5,0.1345,3.35,6.8,185.0,24.0,19.0
39000.0,6.0,1.12,3.1,7.2,286.5,23.5,53.0
3700.0,7.5,0.21350000000000002,5.949999999999999,7.05,299.0,24.0,9.5
44566.666666666664,10.333333333333334,0.8533333333333334,3.3666666666666667,7.233333333333333,266.3333333333333,26.0,21.866666666666664
28754.166666666668,10.666666666666666,0.4435833333333333,4.349999999999999,7.074999999999998,219.33333333333334,21.854166666666668,36.733333333333334
163460.85714285713,10.457142857142857,0.5193714285714286,4.04,6.934285714285714,231.2,23.314285714285713,38.41142857142857
230.0,8.0,0.37200000000000005,3.4,7.6,184.0,22.0,4.0
8.0,2.0,0.325,4.0,7.8,200.0,27.0,7.0
48000.0,10.0,0.67875,3.8,7.1,285.5,21.75,20.125
9.0,11.0,0.11599999999999999,6.9,7.6,140.0,30.0,14.0
2501.0,13.0,0.246,5.35,7.25,162.5,25.5,22.0
15000.0,13.5,0.7015,2.3,7.0,279.5,22.0,68.5
110000.0,15.0,0.45,6.6,7.2,224.0,24.5,3.4
26000.0,14.5,0.665,3.3499999999999996,7.0,240.0,21.0,19.5
20000.0,10.333333333333334,0.8516666666666666,2.9,7.0,326.6666666666667,23.666666666666668,16.0
35750.0,11.5,0.46749999999999997,5.025,7.125,225.75,25.125,66.75
2.0,7.0,0.153,8.1,7.5,145.0,23.0,3.0
41000.0,10.666666666666666,0.3,3.266666666666667,7.133333333333334,282.0,25.233333333333334,29.666666666666668
33603.25,10.25,0.72,2.7499999999999996,6.9,215.0,24.725,41.25
174566.66666666666,11.666666666666666,0.965,3.9000000000000004,7.266666666666666,268.0,21.333333333333332,28.333333333333332
2.0,8.0,0.535,6.2,7.3,170.0,20.0,1.0
130000.0,8.0,1.75,7.0,7.2,265.0,20.0,11.0
484333.3333333333,9.0,1.4866666666666666,4.433333333333334,7.166666666666667,262.6666666666667,25.766666666666666,28.816666666666666
210000.0,15.333333333333334,1.6966666666666665,2.433333333333333,7.1000000000000005,280.3333333333333,20.333333333333332,8.5
7000.0,22.0,0.4,7.1,6.9,225.0,20.0,23.0
40333.333333333336,14.666666666666666,1.03,3.0999999999999996,7.066666666666666,271.6666666666667,24.3,20.0
1100000.0,11.0,1.1,7.0,7.2,223.0,16.0,25.0
35002.0,8.5,0.36400000000000005,4.2,7.05,170.5,25.0,26.5
7.0,17.0,0.18600000000000003,5.5,7.5,168.0,24.0,11.0
230.0,5.0,0.215,2.4,7.3,162.0,20.0,15.0
2.0,3.0,0.293,5.2,7.5,185.0,20.0,3.0
28333.333333333332,18.0,1.11,2.6333333333333333,7.2,342.0,25.2,17.666666666666668
13000.0,7.0,0.24,6.5,7.3,261.0,20.0,26.0
21.0,2.0,0.136,3.9,7.1,146.0,30.0,26.0
116500.0,18.0,1.3625,5.35,7.25,237.0,20.5,16.5
5500.0,12.5,1.1775,2.85,7.35,238.0,24.3,18.0
6501.0,14.5,0.205,4.3,6.699999999999999,168.0,20.5,22.5
39500.0,15.666666666666666,0.8016666666666667,4.933333333333333,7.233333333333333,336.3333333333333,25.333333333333332,10.0
64000.0,13.333333333333334,1.4633333333333332,2.5,7.133333333333333,242.33333333333334,22.8,67.13333333333334
130000.0,21.0,0.29,6.4,7.3,276.0,21.0,15.0
55115.0,18.0,0.8685,3.0999999999999996,7.15,191.0,24.0,10.0
7150.0,17.0,0.6325000000000001,4.15,7.4,296.0,26.4,13.25
1100.0,9.0,0.162,2.8,7.0,154.0,26.0,35.0
140000.0,9.0,1.45,7.3,7.4,324.0,23.0,4.6
40004.0,15.0,0.867,8.8,7.1,222.0,23.5,15.5
24433.333333333332,16.0,0.5566666666666666,4.766666666666667,7.333333333333333,279.0,22.833333333333332,15.666666666666666
90000.0,22.0,2.45,6.8,7.1,232.0,24.0,7.4
250011.5,14.0,0.347,4.2,7.550000000000001,226.0,26.0,19.5
400.0,12.5,1.1525,2.45,7.05,340.0,24.05,101.75
59100.0,8.333333333333334,1.4983333333333333,4.2,7.133333333333333,366.6666666666667,18.333333333333332,18.666666666666668
23000.0,27.0,1.15,4.1,7.2,3210.0,20.0,31.0
23.0,11.0,0.07,2.9,7.2,175.0,25.0,7.0
13666.666666666666,21.0,1.593333333333333,1.3,7.199999999999999,272.3333333333333,20.366666666666667,32.666666666666664
50000.0,10.0,0.56,3.4,7.0,192.0,24.0,26.0
90000.0,25.0,2.3,0.0,7.3,222.0,20.0,40.0
28100.0,13.0,1.9733333333333334,4.8,7.333333333333333,310.6666666666667,23.3,37.333333333333336
2400000.0,33.0,0.05,4.8,7.4,300.0,23.0,50.0
166666.66666666666,22.0,1.4166666666666667,3.5666666666666664,7.266666666666667,270.6666666666667,22.46666666666667,74.33333333333333
15001.0,28.0,0.2805,5.1,7.4,239.5,24.5,11.5
30100.0,14.333333333333334,2.1666666666666665,3.033333333333333,7.233333333333333,274.3333333333333,23.866666666666664,23.333333333333332
2.0,33.0,0.063,4.8,7.5,208.0,25.0,7.0
30000.0,13.0,0.375,4.0,7.3,231.0,26.0,16.0
25001.0,15.5,2.144,4.6,7.050000000000001,291.5,23.5,27.0
1500.6666666666667,11.0,0.4746666666666666,1.7,7.2,230.0,25.666666666666668,78.33333333333333
2.0,17.0,0.547,4.4,7.6,252.0,18.0,4.0
9000.0,33.0,1.1875,3.0999999999999996,7.5,264.0,23.0,8.2
50000.0,35.0,3.4,6.7,7.2,301.0,22.0,35.0
2.0,29.0,0.331,3.3,7.2,262.0,20.0,3.0
10500.0,19.5,0.9875,2.7,7.45,269.0,23.8,15.0
55011.5,19.0,0.5715,5.8,7.2,256.5,24.0,35.0
23.0,7.0,0.048,0.8,7.1,210.0,22.0,2.0
130000.0,18.0,0.245,6.9,7.6,318.0,27.0,30.0
3000.0,20.5,2.125,3.5,7.15,346.0,22.7,18.0
2650.0,24.5,1.5,2.35,7.4,275.5,25.7,38.0
170000.0,11.0,0.46,6.4,7.2,291.0,24.0,55.0
31250.0,14.0,1.3900000000000001,2.5,7.4,238.5,23.15,12.5
80.0,19.0,0.645,15.0,8.6,417.0,25.0,7.0
2.0,5.0,0.10800000000000001,4.0,7.3,152.0,30.0,13.0
70000.0,23.0,0.255,6.6,7.4,235.0,28.0,30.0
130000.0,8.0,0.8029999999999999,5.2,6.8,248.0,21.0,28.0
7534.0,12.0,3.073333333333333,7.0,8.090000000000002,233.66666666666666,23.7,89.0
30000.0,37.0,1.05,3.8,7.3,277.0,24.0,30.0
8000.0,17.0,0.122,5.8,7.2,221.0,20.0,45.0
5330.0,4.5,0.29800000000000004,3.55,7.515000000000001,264.5,26.5,67.5
4.0,15.0,0.11900000000000001,4.4,7.3,333.0,26.0,3.3
130000.0,14.0,0.005,3.2,7.3,314.0,20.0,100.0
2.0,5.0,1.52,9.2,8.9,167.0,29.0,6.5
300000.0,20.0,1.99,3.6,7.2,297.0,21.0,30.0
8750.0,11.5,3.2,3.0,7.16,347.5,19.0,67.5
11400.0,5.0,0.635,4.05,7.05,417.5,26.0,67.5
17000.0,11.0,0.5479999999999999,6.4,7.1,259.0,19.0,45.0
3027.5,18.5,0.26425000000000004,3.6500000000000004,7.32,227.75,23.25,8.0
23000.0,20.0,0.38299999999999995,6.3,7.1,330.0,24.0,18.0
80.0,17.0,0.18,2.3,7.5,233.0,28.0,3.6
4800.0,6.5,0.3465,3.0,7.075,354.5,24.5,47.5
1667.3333333333333,4.333333333333333,0.8536666666666667,5.066666666666667,7.633333333333333,205.66666666666666,25.633333333333336,44.93333333333334
70.0,6.0,1.93,1.9,7.1,166.0,29.0,3.2
10000.0,9.0,0.097,2.85,6.85,301.5,27.5,40.25
142.5,13.5,0.42225000000000007,2.0,6.950000000000001,206.75,19.25,49.125
