tecnica,parametro,amostras,mape,rmse,lag
Random Forest,"DBO (5, 20)",49,8.31,0.36,7
MLP,"DBO (5, 20)",49,7.37,0.45,7
LSTM,"DBO (5, 20)",49,6.86,0.3,7
Regressão Linear,"DBO (5, 20)",49,9.56,0.35,8
Random Forest,"DBO (5, 20)",49,9.02,0.37,8
MLP,"DBO (5, 20)",49,6.96,0.42,8
LSTM,"DBO (5, 20)",49,8.71,0.32,8
Regressão Linear,"DBO (5, 20)",49,9.35,0.34,9
Random Forest,"DBO (5, 20)",49,8.92,0.34,9
MLP,"DBO (5, 20)",49,8.21,0.47,9
LSTM,"DBO (5, 20)",49,6.84,0.36,9
Regressão Linear,"DBO (5, 20)",49,9.34,0.34,10
Random Forest,"DBO (5, 20)",49,9.84,0.35,10
MLP,"DBO (5, 20)",49,9.72,0.41,10
LSTM,"DBO (5, 20)",49,6.31,0.32,10
Regressão Linear,Temperatura da Água,59,9.4,2.38,1
Random Forest,Temperatura da Água,59,9.18,2.42,1
MLP,Temperatura da Água,59,14.95,3.94,1
LSTM,Temperatura da Água,59,9.05,2.3,1
Regressão Linear,Temperatura da Água,59,9.99,2.53,2
Random Forest,Temperatura da Água,59,10.28,2.68,2
MLP,Temperatura da Água,59,9.38,2.43,2
LSTM,Temperatura da Água,59,8.08,2.14,2
Regressão Linear,Temperatura da Água,59,10.7,2.7,3
Random Forest,Temperatura da Água,59,11.32,2.87,3
MLP,Temperatura da Água,59,11.49,2.92,3
LSTM,Temperatura da Água,59,14.95,3.94,3
Regressão Linear,Temperatura da Água,59,10.27,2.63,4
Random Forest,Temperatura da Água,59,11.64,2.97,4
MLP,Temperatura da Água,59,14.95,3.94,4
LSTM,Temperatura da Água,59,8.46,2.21,4
Regressão Linear,Temperatura da Água,59,9.68,2.49,5
Random Forest,Temperatura da Água,59,11.2,2.86,5
MLP,Temperatura da Água,59,10.63,2.81,5
LSTM,Temperatura da Água,59,7.47,2.06,5
Regressão Linear,Temperatura da Água,59,10.29,2.63,6
Random Forest,Temperatura da Água,59,11.17,2.86,6
MLP,Temperatura da Água,59,9.7,2.6,6
LSTM,Temperatura da Água,59,7.83,2.09,6
Regressão Linear,Temperatura da Água,59,11.0,2.77,7
Random Forest,Temperatura da Água,59,11.63,2.97,7
MLP,Temperatura da Água,59,11.79,3.05,7
LSTM,Temperatura da Água,59,8.48,2.19,7
Regressão Linear,Temperatura da Água,59,11.47,2.87,8
Random Forest,Temperatura da Água,59,11.26,2.86,8
MLP,Temperatura da Água,59,11.93,3.11,8
LSTM,Temperatura da Água,59,9.3,2.35,8
Regressão Linear,Temperatura da Água,59,11.3,2.83,9
Random Forest,Temperatura da Água,59,11.01,2.8,9
MLP,Temperatura da Água,59,10.19,2.64,9
LSTM,Temperatura da Água,59,9.13,2.32,9
Regressão Linear,Temperatura da Água,59,11.47,2.87,10
Random Forest,Temperatura da Água,59,11.05,2.79,10
MLP,Temperatura da Água,59,10.88,2.86,10
LSTM,Temperatura da Água,59,7.58,2.06,10
Regressão Linear,pH,54,2.91,0.22,1
Random Forest,pH,54,3.31,0.26,1
MLP,pH,54,2.83,0.23,1
LSTM,pH,54,2.83,0.22,1
Regressão Linear,pH,54,2.92,0.22,2
Random Forest,pH,54,3.05,0.24,2
MLP,pH,54,2.94,0.23,2
LSTM,pH,54,2.89,0.23,2
Regressão Linear,pH,54,2.97,0.22,3
Random Forest,pH,54,2.85,0.23,3
MLP,pH,54,5.64,0.43,3
LSTM,pH,54,2.72,0.22,3
Regressão Linear,pH,54,2.92,0.22,4
Random Forest,pH,54,2.85,0.22,4
MLP,pH,54,5.64,0.43,4
LSTM,pH,54,2.76,0.22,4
Regressão Linear,pH,54,2.95,0.22,5
Random Forest,pH,54,3.19,0.25,5
MLP,pH,54,3.12,0.24,5
LSTM,pH,54,2.67,0.22,5
Regressão Linear,pH,54,3.03,0.23,6
Random Forest,pH,54,3.29,0.25,6
MLP,pH,54,3.43,0.28,6
LSTM,pH,54,2.63,0.23,6
Regressão Linear,pH,54,3.06,0.23,7
Random Forest,pH,54,3.18,0.24,7
MLP,pH,54,3.45,0.26,7
LSTM,pH,54,2.77,0.22,7
Regressão Linear,pH,54,3.12,0.24,8
Random Forest,pH,54,3.18,0.24,8
MLP,pH,54,3.33,0.26,8
LSTM,pH,54,2.64,0.22,8
Regressão Linear,pH,54,3.1,0.24,9
Random Forest,pH,54,3.16,0.24,9
MLP,pH,54,3.41,0.27,9
LSTM,pH,54,2.68,0.22,9
Regressão Linear,pH,54,3.11,0.24,10
Random Forest,pH,54,3.19,0.24,10
MLP,pH,54,3.72,0.29,10
LSTM,pH,54,2.67,0.22,10
