,tecnica,parametro,amostras,mape,lag
215,LSTM,"DBO (5, 20)",161,3.2,4
216,Regressão Linear,"DBO (5, 20)",161,6.85,5
217,Random Forest,"DBO (5, 20)",161,6.05,5
218,MLP,"DBO (5, 20)",161,4.27,5
219,LSTM,"DBO (5, 20)",161,2.86,5
220,Regressão Linear,"DBO (5, 20)",161,6.93,6
221,Random Forest,"DBO (5, 20)",161,5.86,6
222,MLP,"DBO (5, 20)",161,4.76,6
223,LSTM,"DBO (5, 20)",161,4.3,6
224,Regressão Linear,"DBO (5, 20)",161,7.19,7
225,Random Forest,"DBO (5, 20)",161,7.16,7
226,MLP,"DBO (5, 20)",161,4.8,7
227,LSTM,"DBO (5, 20)",161,12.79,7
228,Regressão Linear,"DBO (5, 20)",161,7.57,8
229,Random Forest,"DBO (5, 20)",161,7.42,8
230,MLP,"DBO (5, 20)",161,4.37,8
231,LSTM,"DBO (5, 20)",161,12.69,8
232,Regressão Linear,"DBO (5, 20)",161,7.27,9
233,Random Forest,"DBO (5, 20)",161,7.45,9
234,MLP,"DBO (5, 20)",161,5.15,9
235,LSTM,"DBO (5, 20)",161,13.07,9
236,Regressão Linear,"DBO (5, 20)",161,7.28,10
237,Random Forest,"DBO (5, 20)",161,8.33,10
238,MLP,"DBO (5, 20)",161,5.65,10
239,LSTM,"DBO (5, 20)",161,12.37,10
240,Regressão Linear,Temperatura da Água,195,2.87,1
241,Random Forest,Temperatura da Água,195,2.89,1
242,MLP,Temperatura da Água,195,2.78,1
243,LSTM,Temperatura da Água,195,2.84,1
244,Regressão Linear,Temperatura da Água,195,3.03,2
245,Random Forest,Temperatura da Água,195,3.22,2
246,MLP,Temperatura da Água,195,3.09,2
247,LSTM,Temperatura da Água,195,2.85,2
248,Regressão Linear,Temperatura da Água,195,3.19,3
249,Random Forest,Temperatura da Água,195,3.45,3
250,MLP,Temperatura da Água,195,3.29,3
251,LSTM,Temperatura da Água,195,2.84,3
252,Regressão Linear,Temperatura da Água,195,3.06,4
253,Random Forest,Temperatura da Água,195,3.5,4
254,MLP,Temperatura da Água,195,3.26,4
255,LSTM,Temperatura da Água,195,2.87,4
256,Regressão Linear,Temperatura da Água,195,2.9,5
257,Random Forest,Temperatura da Água,195,3.32,5
258,MLP,Temperatura da Água,195,3.0,5
259,LSTM,Temperatura da Água,195,2.87,5
260,Regressão Linear,Temperatura da Água,195,3.07,6
261,Random Forest,Temperatura da Água,195,3.45,6
262,MLP,Temperatura da Água,195,3.23,6
263,LSTM,Temperatura da Água,195,2.87,6
264,Regressão Linear,Temperatura da Água,195,3.25,7
265,Random Forest,Temperatura da Água,195,3.34,7
266,MLP,Temperatura da Água,195,3.68,7
267,LSTM,Temperatura da Água,195,2.89,7
268,Regressão Linear,Temperatura da Água,195,3.38,8
269,Random Forest,Temperatura da Água,195,3.31,8
270,MLP,Temperatura da Água,195,3.36,8
271,LSTM,Temperatura da Água,195,2.89,8
272,Regressão Linear,Temperatura da Água,195,3.31,9
273,Random Forest,Temperatura da Água,195,3.31,9
274,MLP,Temperatura da Água,195,3.22,9
275,LSTM,Temperatura da Água,195,2.9,9
276,Regressão Linear,Temperatura da Água,195,3.35,10
277,Random Forest,Temperatura da Água,195,3.19,10
278,MLP,Temperatura da Água,195,3.26,10
279,LSTM,Temperatura da Água,195,2.87,10
280,Regressão Linear,pH,179,1.56,1
281,Random Forest,pH,179,1.87,1
282,MLP,pH,179,1.54,1
283,LSTM,pH,179,1.55,1
284,Regressão Linear,pH,179,1.56,2
285,Random Forest,pH,179,1.67,2
286,MLP,pH,179,1.64,2
287,LSTM,pH,179,1.58,2
288,Regressão Linear,pH,179,1.59,3
289,Random Forest,pH,179,1.52,3
290,MLP,pH,179,1.63,3
291,LSTM,pH,179,1.53,3
292,Regressão Linear,pH,179,1.56,4
293,Random Forest,pH,179,1.53,4
294,MLP,pH,179,1.63,4
295,LSTM,pH,179,1.52,4
296,Regressão Linear,pH,179,1.57,5
297,Random Forest,pH,179,1.7,5
298,MLP,pH,179,1.7,5
299,LSTM,pH,179,1.47,5
300,Regressão Linear,pH,179,1.62,6
301,Random Forest,pH,179,1.74,6
302,MLP,pH,179,1.74,6
303,LSTM,pH,179,1.53,6
304,Regressão Linear,pH,179,1.63,7
305,Random Forest,pH,179,1.76,7
306,MLP,pH,179,1.69,7
307,LSTM,pH,179,1.53,7
308,Regressão Linear,pH,179,1.67,8
309,Random Forest,pH,179,1.75,8
310,MLP,pH,179,1.69,8
311,LSTM,pH,179,1.54,8
312,Regressão Linear,pH,179,1.66,9
313,Random Forest,pH,179,1.69,9
314,MLP,pH,179,1.77,9
315,LSTM,pH,179,1.53,9
316,Regressão Linear,pH,179,1.66,10
317,Random Forest,pH,179,1.73,10
318,MLP,pH,179,1.6,10
319,LSTM,pH,179,1.53,10
