,tecnica,parametro,amostras,mape,lag
237,Random Forest,"DBO (5, 20)",161,7.93,10
238,MLP,"DBO (5, 20)",161,3.69,10
239,LSTM,"DBO (5, 20)",161,3.63,10
240,Regressão Linear,Temperatura da Água,195,2.87,1
241,Random Forest,Temperatura da Água,195,2.83,1
242,MLP,Temperatura da Água,195,5.34,1
243,LSTM,Temperatura da Água,195,2.78,1
244,Regressão Linear,Temperatura da Água,195,3.03,2
245,Random Forest,Temperatura da Água,195,3.15,2
246,MLP,Temperatura da Água,195,3.22,2
247,LSTM,Temperatura da Água,195,2.74,2
248,Regressão Linear,Temperatura da Água,195,3.19,3
249,Random Forest,Temperatura da Água,195,3.61,3
250,MLP,Temperatura da Água,195,3.07,3
251,LSTM,Temperatura da Água,195,2.92,3
252,Regressão Linear,Temperatura da Água,195,3.06,4
253,Random Forest,Temperatura da Água,195,3.47,4
254,MLP,Temperatura da Água,195,3.05,4
255,LSTM,Temperatura da Água,195,2.75,4
256,Regressão Linear,Temperatura da Água,195,2.9,5
257,Random Forest,Temperatura da Água,195,3.36,5
258,MLP,Temperatura da Água,195,3.23,5
259,LSTM,Temperatura da Água,195,2.53,5
260,Regressão Linear,Temperatura da Água,195,3.07,6
261,Random Forest,Temperatura da Água,195,3.32,6
262,MLP,Temperatura da Água,195,3.01,6
263,LSTM,Temperatura da Água,195,2.8,6
264,Regressão Linear,Temperatura da Água,195,3.25,7
265,Random Forest,Temperatura da Água,195,3.43,7
266,MLP,Temperatura da Água,195,3.59,7
267,LSTM,Temperatura da Água,195,2.54,7
268,Regressão Linear,Temperatura da Água,195,3.38,8
269,Random Forest,Temperatura da Água,195,3.37,8
270,MLP,Temperatura da Água,195,2.95,8
271,LSTM,Temperatura da Água,195,2.51,8
272,Regressão Linear,Temperatura da Água,195,3.31,9
273,Random Forest,Temperatura da Água,195,3.25,9
274,MLP,Temperatura da Água,195,2.63,9
275,LSTM,Temperatura da Água,195,2.69,9
276,Regressão Linear,Temperatura da Água,195,3.35,10
277,Random Forest,Temperatura da Água,195,3.32,10
278,MLP,Temperatura da Água,195,5.34,10
279,LSTM,Temperatura da Água,195,2.56,10
280,Regressão Linear,pH,179,1.56,1
281,Random Forest,pH,179,1.8,1
282,MLP,pH,179,3.12,1
283,LSTM,pH,179,1.5,1
284,Regressão Linear,pH,179,1.56,2
285,Random Forest,pH,179,1.68,2
286,MLP,pH,179,1.67,2
287,LSTM,pH,179,1.46,2
288,Regressão Linear,pH,179,1.59,3
289,Random Forest,pH,179,1.57,3
290,MLP,pH,179,1.59,3
291,LSTM,pH,179,1.47,3
292,Regressão Linear,pH,179,1.56,4
293,Random Forest,pH,179,1.5,4
294,MLP,pH,179,1.51,4
295,LSTM,pH,179,1.43,4
296,Regressão Linear,pH,179,1.57,5
297,Random Forest,pH,179,1.73,5
298,MLP,pH,179,1.69,5
299,LSTM,pH,179,1.45,5
300,Regressão Linear,pH,179,1.62,6
301,Random Forest,pH,179,1.72,6
302,MLP,pH,179,1.6,6
303,LSTM,pH,179,1.43,6
304,Regressão Linear,pH,179,1.63,7
305,Random Forest,pH,179,1.72,7
306,MLP,pH,179,3.12,7
307,LSTM,pH,179,1.43,7
308,Regressão Linear,pH,179,1.67,8
309,Random Forest,pH,179,1.7,8
310,MLP,pH,179,1.67,8
311,LSTM,pH,179,1.47,8
312,Regressão Linear,pH,179,1.66,9
313,Random Forest,pH,179,1.77,9
314,MLP,pH,179,1.64,9
315,LSTM,pH,179,1.43,9
316,Regressão Linear,pH,179,1.66,10
317,Random Forest,pH,179,1.69,10
318,MLP,pH,179,1.69,10
319,LSTM,pH,179,1.44,10
