tecnica,parametro,amostras,mape,lag
LSTM,"DBO (5, 20)",179,42.3,10
Regressão Linear,Temperatura da Água,179,3.13,1
Random Forest,Temperatura da Água,179,3.49,1
MLP,Temperatura da Água,179,3.18,1
LSTM,Temperatura da Água,179,3.17,1
Regressão Linear,Temperatura da Água,179,3.18,2
Random Forest,Temperatura da Água,179,3.98,2
MLP,Temperatura da Água,179,3.16,2
LSTM,Temperatura da Água,179,3.15,2
Regressão Linear,Temperatura da Água,179,3.16,3
Random Forest,Temperatura da Água,179,3.41,3
MLP,Temperatura da Água,179,3.14,3
LSTM,Temperatura da Água,179,3.13,3
Regressão Linear,Temperatura da Água,179,3.27,4
Random Forest,Temperatura da Água,179,3.78,4
MLP,Temperatura da Água,179,3.36,4
LSTM,Temperatura da Água,179,3.12,4
Regressão Linear,Temperatura da Água,179,3.27,5
Random Forest,Temperatura da Água,179,3.79,5
MLP,Temperatura da Água,179,3.6,5
LSTM,Temperatura da Água,179,3.14,5
Regressão Linear,Temperatura da Água,179,3.33,6
Random Forest,Temperatura da Água,179,3.67,6
MLP,Temperatura da Água,179,3.47,6
LSTM,Temperatura da Água,179,3.15,6
Regressão Linear,Temperatura da Água,179,3.33,7
Random Forest,Temperatura da Água,179,3.6,7
MLP,Temperatura da Água,179,3.42,7
LSTM,Temperatura da Água,179,3.15,7
Regressão Linear,Temperatura da Água,179,3.36,8
Random Forest,Temperatura da Água,179,3.64,8
MLP,Temperatura da Água,179,3.52,8
LSTM,Temperatura da Água,179,3.13,8
Regressão Linear,Temperatura da Água,179,3.38,9
Random Forest,Temperatura da Água,179,3.58,9
MLP,Temperatura da Água,179,3.33,9
LSTM,Temperatura da Água,179,3.14,9
Regressão Linear,Temperatura da Água,179,3.39,10
Random Forest,Temperatura da Água,179,3.58,10
MLP,Temperatura da Água,179,3.43,10
LSTM,Temperatura da Água,179,3.16,10
Regressão Linear,pH,179,0.86,1
Random Forest,pH,179,1.11,1
MLP,pH,179,0.87,1
LSTM,pH,179,0.87,1
Regressão Linear,pH,179,0.88,2
Random Forest,pH,179,1.16,2
MLP,pH,179,0.85,2
LSTM,pH,179,0.86,2
Regressão Linear,pH,179,0.89,3
Random Forest,pH,179,1.17,3
MLP,pH,179,0.86,3
LSTM,pH,179,0.87,3
Regressão Linear,pH,179,0.89,4
Random Forest,pH,179,1.15,4
MLP,pH,179,0.86,4
LSTM,pH,179,0.87,4
Regressão Linear,pH,179,0.93,5
Random Forest,pH,179,1.09,5
MLP,pH,179,0.85,5
LSTM,pH,179,0.87,5
Regressão Linear,pH,179,0.94,6
Random Forest,pH,179,1.02,6
MLP,pH,179,0.85,6
LSTM,pH,179,0.87,6
Regressão Linear,pH,179,0.94,7
Random Forest,pH,179,1.07,7
MLP,pH,179,0.87,7
LSTM,pH,179,0.86,7
Regressão Linear,pH,179,0.94,8
Random Forest,pH,179,1.01,8
MLP,pH,179,0.87,8
LSTM,pH,179,0.87,8
Regressão Linear,pH,179,0.93,9
Random Forest,pH,179,1.01,9
MLP,pH,179,0.95,9
LSTM,pH,179,0.87,9
Regressão Linear,pH,179,0.92,10
Random Forest,pH,179,1.0,10
MLP,pH,179,0.92,10
LSTM,pH,179,0.87,10
