,tecnica,parametro,amostras,mape,lag
273,Random Forest,Temperatura da Água,207,3.47,9
274,MLP,Temperatura da Água,207,3.22,9
275,LSTM,Temperatura da Água,207,2.96,9
276,Regressão Linear,Temperatura da Água,207,3.05,10
277,Random Forest,Temperatura da Água,207,3.35,10
278,MLP,Temperatura da Água,207,3.41,10
279,LSTM,Temperatura da Água,207,2.95,10
280,Regressão Linear,pH,207,2.18,1
281,Random Forest,pH,207,2.29,1
282,MLP,pH,207,2.1,1
283,LSTM,pH,207,2.07,1
284,Regressão Linear,pH,207,2.12,2
285,Random Forest,pH,207,2.65,2
286,MLP,pH,207,2.23,2
287,LSTM,pH,207,2.14,2
288,Regressão Linear,pH,207,2.04,3
289,Random Forest,pH,207,2.32,3
290,MLP,pH,207,2.03,3
291,LSTM,pH,207,2.14,3
292,Regressão Linear,pH,207,1.99,4
293,Random Forest,pH,207,2.11,4
294,MLP,pH,207,2.03,4
295,LSTM,pH,207,2.02,4
296,Regressão Linear,pH,207,1.99,5
297,Random Forest,pH,207,2.2,5
298,MLP,pH,207,2.19,5
299,LSTM,pH,207,2.07,5
300,Regressão Linear,pH,207,1.96,6
301,Random Forest,pH,207,2.15,6
302,MLP,pH,207,2.03,6
303,LSTM,pH,207,2.13,6
304,Regressão Linear,pH,207,1.96,7
305,Random Forest,pH,207,2.1,7
306,MLP,pH,207,2.11,7
307,LSTM,pH,207,2.1,7
308,Regressão Linear,pH,207,1.94,8
309,Random Forest,pH,207,2.11,8
310,MLP,pH,207,2.03,8
311,LSTM,pH,207,2.15,8
312,Regressão Linear,pH,207,1.94,9
313,Random Forest,pH,207,2.15,9
314,MLP,pH,207,2.22,9
315,LSTM,pH,207,2.19,9
316,Regressão Linear,pH,207,1.92,10
317,Random Forest,pH,207,2.1,10
318,MLP,pH,207,2.23,10
319,LSTM,pH,207,2.11,10
