"CÓDIGO HIDRO    SR HIDROGRAFICA   MUNICÍPIO              CORPO DÁGUA                LATITUDE LONGITUDE PERÍODO       INFLUÊNCIA DE MARÉ   ANO          DATA DA COLETA HORA DA COLETA TEMPERATURA DO AR (°C)    CONDUTIVIDADE (SpCond a 25 °C)     pH          OXIGENIO DISSOLVIDO (mg/L)     OXIGENIO DISSOLVIDO (%)    TURBIDEZ (NTU) TEMPERATURA DA ÁGUA (°C)    PROFUNDIDADE (m)"
"32450003   COSTA ATLANTICA   VISEU                  RIO PIRIÁ                    -1,73615   -46,5919 SECO       NÃO                        2017           26/09/17          14:41                    31,1                               32,9      6,72                             7,18                       96,4             7,48                      30,8                0,34"
"32620001   GURUPI            CACHOEIRA DO PIRIA     RIO GURUPI                   -1,80003  -46,31499 SECO       NÃO                        2017           26/09/17          15:25                    27,7                               66,3      6,58                             7,53                      100,5             9,89                      30,5                0,39"
"31018000   MOJU              BREU BRANCO            RIO MOJUZINHO                -3,85485  -49,39069 SECO       NÃO                        2017           24/10/17          11:15                      28                               16,8      7,14                             7,56                         98             11,7                      28,8                0,49"
"31017000   MOJU              GOIANÉSIA DO PARÁ      IGARAPÉ ÁGUA BRANCA          -4,05403  -49,41594 SECO       NÃO                        2017           24/10/17          15:45                    28,1                               12,1      5,64                             6,69                       83,4              0,4                      26,6                0,75"
"29691000   TOCANTINS         BREU BRANCO            RIO TOCANTINS                -3,77783   -49,6447 SECO       NÃO                        2017           25/10/17          14:46                    29,9                               40,7      7,04                             6,75                       89,9             0,54                      29,8                0,69"
"29745000   TOCANTINS         BREU BRANCO            RIO TOCANTINS                -3,44809  -49,60632 SECO       NÃO                        2017           25/10/17          17:05                    29,9                               40,5      7,26                             7,29                       96,2             0,05                      29,8                0,41"
"31021000   MOJU              BREU BRANCO            RIO MOJU                     -3,43674  -49,17225 SECO       NÃO                        2017           26/10/17          11:40                      29                               14,9      6,71                             7,24                       94,3             7,24                     29,08                1,82"
"32100000   GUAMA             BENEVIDES              RIO BENFICA                    -1,3132    -48,304 SECO      SIM                        2017           09/11/17          11:20                  28,49                              324,4       6,67                             8,45                      107,9            33,45                      27,8                  0,7"
"31645001   GUAMA             BELÉM                  RIO GUAMÁ                      -1,4552  -48,4017 SECO       SIM                        2017           09/11/17          12:43                    30,4                             115,4       6,28                             6,34                       84,9            87,07                      30,7                2,25"
"31647000   GUAMA             BELÉM                  FURO DO MAGUARI                 -1,262  -48,4276 SECO       SIM                        2017           10/11/17          11:36                    28,2                            2272,1       6,96                             6,46                       85,6            20,34                      29,7                1,41"
"31646000   GUAMA             BELÉM                  FURO DO MAGUARI                -1,2758    -48,445 SECO      SIM                        2017           10/11/17          12:35                    30,2                            1949,7       7,11                             6,64                       87,4            44,69                      29,3                1,02"
"29050100   ITACAIUNAS        MARABA                 RIO TOCANTINS                -5,33743  -49,12211 CHUVOSO    NÃO                        2017           22/11/17          15:55                    32,5                                 40      8,05                             8,18                      110,8            19,45                     31,41                1,11"
"29041000   TOCANTINS         SAO JOAO DO ARAGUAIA   RIO TOCANTINS                -5,34958   -48,8817 CHUVOSO    NÃO                        2017           22/11/17          10:10                    32,8                               36,8      7,02                              6,7                       88,2            12,88                      29,7                0,59"
"29035000   ITACAIUNAS        SAO JOAO DO ARAGUAIA   RIO TOCANTINS                -5,35466  -48,78983 CHUVOSO    NÃO                        2017           22/11/17          14:10                    30,1                               31,1      7,86                             8,16                        112            12,62                      32,2                0,39"
"29210000   TOCANTINS         ITUPIRANGA             RIO TOCANTINS                -5,00186  -49,33239 CHUVOSO    NÃO                        2017           23/11/17          14:10                    26,9                               41,2      7,44                             7,32                       97,1            13,74                      30,1                  0,7"
"29195000   TOCANTINS         ITUPIRANGA             RIO TOCANTINS                -5,13494   -49,3239 CHUVOSO    NÃO                        2017           23/11/17          16:00                    26,2                               44,5      7,47                             7,64                      101,2             25,3                     30,02                0,69"
"29355000   TOCANTINS         ITUPIRANGA             RIO CAJAZEIRAS               -4,96507  -49,48317 CHUVOSO    NÃO                        2017           23/11/17          11:50                    30,3                                109      7,51                             6,87                       90,1            65,82                      29,5                0,83"
"29385000   TOCANTINS         NOVO REPARTIMENTO      RIO GABU                     -4,26873  -50,01981 CHUVOSO    NÃO                        2017           24/11/17          16:00                    26,5                             102,9       7,03                             3,26                       41,3            12,34                      27,6                0,48"
"29380000   TOCANTINS         NOVO REPARTIMENTO      RIO PUCURUI-ARARAO           -4,43243  -49,93033 CHUVOSO    NÃO                        2017           24/11/17          13:30                  27,33                                90,3      7,69                             7,27                       95,4            47,37                      29,5                    1"
"29120000   ITACAIUNAS        MARABA                 RIO ITACAIUNAS               -5,38708  -49,20285 CHUVOSO    NÃO                        2017           24/11/17           9:20                    29,6                               88,1      7,16                             6,23                       81,1            66,49                     29,26                1,57"
